AssetID,Hostname,IP,OS,LastScannedAt,IsStale,LastSeenAt
245,Onbekend,10.240.10.250,,NULL,0,2026-04-09 09:35:33.5400000
247,UnifiController,10.240.10.245,,NULL,0,2026-04-09 12:58:20.3300000
276,ECPRSVUMS2,10.240.10.20,,NULL,0,2026-04-09 09:08:40.5633333
306,ECPRSVS12APP10,10.56.234.16,,NULL,1,2026-03-22 08:04:57.1533333
345,Onbekend,10.240.13.154,,NULL,0,2026-04-09 13:03:21.3600000
401,custom-relay.ram.nl,10.240.10.249,,NULL,0,2026-04-09 09:35:33.5933333
404,ec-callmanager-relay.ram.nl,10.240.10.247,,NULL,0,2026-04-09 09:35:33.7433333
484,ECPRSVCMCOM1,10.240.13.96,,NULL,0,2026-04-09 14:27:29.8466667
507,Onbekend,10.145.146.245,,NULL,1,2026-03-11 20:21:13.2466667
522,Onbekend,10.240.0.51,,NULL,1,2026-03-16 01:34:57.3933333
579,Onbekend,10.145.145.10,,NULL,0,2026-04-09 12:58:21.0033333
584,Onbekend,10.145.145.201,,NULL,1,2026-03-16 01:34:57.4466667
585,Onbekend,10.145.145.200,,NULL,1,2026-03-16 01:34:57.3466667
628,Onbekend,10.145.148.5,,NULL,1,2026-03-15 20:51:54.0133333
648,ggznhn-relay1.ram.nl,10.145.145.13,,NULL,0,2026-04-09 09:35:33.7900000
658,IVHG-ORACLE,10.240.17.10,,NULL,0,2026-04-09 16:30:55.4200000
1612,TERG-MON01,192.168.126.10,,NULL,1,2026-03-16 01:34:31.9266667
1614,TERG-STEP01,192.168.126.8,,NULL,1,2026-03-16 01:34:57.3133333
1625,TERG-PRD-DB03,192.168.126.99,,NULL,1,2026-03-16 01:34:32.2200000
1637,TERG-PRD-BIZ01,192.168.126.71,,NULL,1,2026-03-16 01:34:32.2333333
1643,TERG-BCK01,192.168.126.76,,NULL,1,2026-03-16 01:34:57.5000000
1644,TERG-PRD-LTST01,192.168.126.80,,NULL,1,2026-03-16 01:34:57.4600000
1645,TERG-PRD-LTST02,192.168.126.81,,NULL,1,2026-03-16 01:34:57.4200000
1652,TERG-PRD-DWH01,192.168.126.69,,NULL,1,2026-03-16 01:34:32.1633333
1655,TERG-PRD-EWL01,192.168.126.70,,NULL,1,2026-03-16 01:34:32.2066667
1656,TERG-PRD-SHS01,192.168.126.66,,NULL,1,2026-03-15 20:51:54.3733333
1657,TERG-PRD-3D01,192.168.126.72,,NULL,1,2026-03-16 01:34:32.1900000
1658,TERG-PRD-SHS02,192.168.126.67,,NULL,1,2026-03-15 20:51:54.5333333
1659,TERG-PRD-SHS03,192.168.126.68,,NULL,1,2026-03-15 20:51:54.3066667
1660,TERG-PRD-3D02,192.168.126.73,,NULL,1,2026-03-16 01:34:32.3233333
1937,Onbekend,192.168.176.18,,NULL,0,2026-04-09 16:11:34.9900000
1948,Onbekend,192.168.176.19,,NULL,0,2026-04-09 16:11:35.0500000
1981,RAMNL-DC03,192.168.170.4,,NULL,1,2026-03-30 14:22:51.7900000
1986,Ramnl-DC,192.168.170.5,,NULL,1,2026-03-30 14:22:51.7466667
2129,Veeam04,192.168.234.50,,NULL,0,2026-04-09 12:23:54.9766667
2131,Veeam03,192.168.234.51,,NULL,0,2026-04-09 12:23:55.2300000
2133,Veeam01,192.168.234.53,,NULL,0,2026-04-09 12:23:55.1133333
2166,vc-ppd-prod.ram.nl,192.168.226.97,,NULL,1,2026-03-15 20:51:55.2900000
2177,Veeam-mgmt,192.168.234.49,,NULL,0,2026-04-09 12:14:49.2666667
2215,TNT-PROXY2,192.168.178.92,,NULL,1,2026-03-16 01:34:32.4266667
2241,TNT-PROXY1,192.168.178.91,,NULL,1,2026-03-16 01:34:32.4133333
2274,TNT-TEST-PROJEC,192.168.179.20,,NULL,1,2026-03-16 01:34:32.4400000
2345,Robot-DC1,10.1.14.2,,NULL,0,2026-04-09 16:30:56.3533333
2402,ECPRSVV11APP13,10.56.3.17,,NULL,1,2026-03-16 01:34:32.4533333
2405,ECPRSVV11APP5,10.56.3.20,,NULL,0,2026-04-09 12:27:52.6766667
2408,Onbekend,10.56.3.10,,NULL,0,2026-04-09 12:58:22.5433333
2447,Onbekend,10.36.255.105,,NULL,0,2026-04-09 09:35:33.4400000
2448,Onbekend,10.36.255.104,,NULL,0,2026-04-09 09:35:33.6900000
2450,ECPRSVE05PRN1,10.56.4.41,,NULL,0,2026-04-09 12:24:37.1000000
2451,ECPRSVE05APP4,10.56.4.43,,NULL,0,2026-04-09 15:22:27.1233333
2452,Onbekend,10.56.4.35,,NULL,1,2026-03-11 18:34:05.8700000
2468,Onbekend,10.130.3.12,,NULL,0,2026-04-09 10:48:18.2033333
2469,Onbekend,10.130.3.10,,NULL,0,2026-04-09 10:48:18.2200000
2477,Onbekend,10.130.3.33,,NULL,0,2026-04-09 12:58:20.2766667
2483,Onbekend,10.146.0.2,,NULL,0,2026-04-09 09:35:32.9966667
2510,Palga-DC01,10.162.255.5,,NULL,1,2026-03-16 10:20:51.8200000
2517,Mobi-PPD-BE-Master.ram.nl,10.201.0.8,,NULL,1,2026-03-16 01:34:11.9100000
2518,Mobi-PPD-GW-Slave.ram.nl,10.201.0.130,,NULL,1,2026-03-16 01:34:11.9300000
2519,Onbekend,10.201.0.6,,NULL,1,2026-03-16 01:34:11.9366667
2520,Mobi-PPD-GW-Master.ram.nl,10.201.0.4,,NULL,1,2026-03-16 01:34:11.9600000
2522,Palga_PZVDB19,10.162.255.6,,NULL,0,2026-04-09 12:37:15.3500000
2523,Palga_ETL19,10.162.255.70,,NULL,1,2026-03-16 10:20:50.4800000
2524,Palga_STST1,10.162.255.75,Microsoft Windows Server 2016 Standard Edition 1607,NULL,0,2026-04-09 18:44:55.4200000
2525,Palga_CRS19,10.162.255.71,,NULL,0,2026-04-09 12:37:15.3866667
2526,Palga_RDS19,10.162.255.69,,NULL,0,2026-04-09 12:37:15.3100000
2534,KUI-MONITOR02,172.17.0.20,,NULL,1,2026-03-16 01:34:32.7700000
2535,Onbekend,172.17.0.16,,NULL,1,2026-03-16 01:34:57.4066667
2536,Onbekend,172.17.0.19,,NULL,1,2026-03-16 01:34:32.6333333
2538,Onbekend,172.17.0.18,,NULL,1,2026-03-16 01:34:32.8400000
2539,Onbekend,172.17.0.17,,NULL,1,2026-03-16 01:34:32.5633333
2542,KUI-MONITOR01,172.17.0.12,,NULL,1,2026-03-16 01:34:32.9033333
2543,Onbekend,172.17.0.14,,NULL,1,2026-03-16 01:34:33.0333333
2544,Onbekend,172.17.0.11,,NULL,1,2026-03-16 01:34:33.1633333
2545,Onbekend,172.17.0.10,,NULL,1,2026-03-16 01:34:33.0966667
2546,Onbekend,172.17.0.24,,NULL,1,2026-03-16 01:34:33.4433333
2547,Onbekend,172.17.0.13,,NULL,1,2026-03-16 01:34:33.3666667
2548,Onbekend,172.17.0.22,,NULL,1,2026-03-16 01:34:33.5933333
2549,Onbekend,172.17.0.15,,NULL,1,2026-03-16 01:34:33.2300000
2550,Onbekend,172.17.0.25,,NULL,1,2026-03-16 01:34:33.2966667
2551,KUI-DB01,172.17.0.66,,NULL,1,2026-03-16 01:34:33.4600000
2552,GEMBA-SCH-P-AWS,172.20.200.66,,NULL,1,2026-03-15 20:51:56.2133333
2556,kui-mail.ram.nl,172.17.0.60,,NULL,1,2026-03-30 10:13:29.9066667
2568,G-VMI-P-APP-AWS,172.20.201.2,,NULL,1,2026-03-16 01:34:33.3800000
2583,gemba-sch-ot-db1.ram.nl,172.20.200.201,,NULL,1,2026-03-16 01:34:11.9800000
2587,Onbekend,172.20.201.34,,NULL,1,2026-03-15 20:51:56.3200000
2589,Onbekend,172.20.201.19,,NULL,1,2026-03-15 20:51:56.4700000
2590,Onbekend,172.20.201.18,,NULL,1,2026-03-15 20:51:56.3700000
2592,Onbekend,172.20.201.35,,NULL,1,2026-03-15 20:51:56.4200000
2593,GGZ-ARQ-PROD1.ITV-ARQ.local,192.168.19.218,,NULL,0,2026-04-09 12:14:37.0066667
2597,Onbekend,192.168.2.139,,NULL,0,2026-04-09 12:58:21.2366667
2598,Onbekend,192.168.2.136,,NULL,0,2026-04-09 12:58:21.4533333
2599,ECPRSVL04APP7,192.168.44.42,,NULL,1,2026-03-16 01:34:57.4833333
2600,ECPRSVL04PRN1,192.168.44.41,,NULL,1,2026-03-16 01:34:57.5900000
2602,ECPRSVL04PRN2,192.168.44.51,,NULL,1,2026-03-16 01:34:57.6166667
2607,GGZ-ARQ-ACCP1,192.168.19.219,,NULL,0,2026-04-09 12:14:36.9633333
2633,PM-STEP01,192.168.77.131,,NULL,1,2026-03-16 01:34:33.5266667
2634,PM-DC01.promedico-apro.local,192.168.77.130,,NULL,1,2026-03-16 01:34:33.9466667
2660,Onbekend,192.168.70.21,,NULL,1,2026-03-15 21:52:18.4766667
2665,GGZ-ARQ-TEST.ITV-ARQ.local,192.168.19.220,,NULL,0,2026-04-09 12:14:37.0300000
2668,Onbekend,192.168.23.16,,NULL,1,2026-03-15 20:51:56.6100000
2679,Onbekend,192.168.70.11,,NULL,0,2026-04-09 13:02:18.3333333
2680,itsappram001,192.168.70.20,,NULL,0,2026-04-09 16:11:34.6200000
2699,Onbekend,192.168.115.101,,NULL,1,2026-03-16 01:34:33.7333333
2701,SEPAY-DB01,192.168.115.10,,NULL,0,2026-04-09 16:30:55.8900000
2703,SEPAY-DESKTOP,192.168.115.22,,NULL,1,2026-03-16 01:34:33.7600000
2704,SEPAY-DB02,192.168.115.11,,NULL,1,2026-03-16 01:34:33.8733333
2708,Sepay-Services.sepay.nl,192.168.115.21,,NULL,1,2026-03-16 01:34:34.1700000
2780,SEPAY-MAIL,192.168.115.20,,NULL,1,2026-03-16 01:34:57.6633333
2785,PM-PRO-A-CA01,192.168.77.252,,NULL,1,2026-03-16 01:34:34.0133333
2786,Onbekend,192.168.177.2,,NULL,0,2026-04-09 12:58:21.3433333
2787,Onbekend,192.168.178.56,,NULL,1,2026-03-15 20:51:56.7133333
2788,Onbekend,192.168.178.18,,NULL,0,2026-04-09 16:11:34.7366667
2790,Onbekend,192.168.178.19,,NULL,0,2026-04-09 16:11:34.6833333
2791,Onbekend,192.168.178.3,,NULL,0,2026-04-09 09:35:32.8466667
2792,RAM-F5-BIG-IP.ram.nl,192.168.178.50,,NULL,1,2026-03-16 01:34:12.1366667
2793,Onbekend,192.168.178.55,,NULL,1,2026-03-15 20:51:56.7733333
2804,ITV-RZCC-PROD01.ITV-RZCC.local,192.168.200.5,,NULL,1,2026-03-12 16:00:36.3333333
2805,ITV-RZCC-ACCP01,192.168.200.3,,NULL,1,2026-03-12 16:00:36.5366667
2806,ITV-RZCC-DC01.ITV-RZCC.local,192.168.200.2,,NULL,1,2026-03-11 14:15:32.2000000
2827,GEMDEV,192.168.151.97,,NULL,1,2026-03-30 15:37:16.0833333
2829,ITV-RZCC-ONTW01.ITV-RZCC.local,192.168.200.6,,NULL,1,2026-03-12 16:00:36.9400000
2830,Onbekend,192.168.250.230,,NULL,1,2026-03-16 01:34:57.6033333
2831,LIV-PRD-APP01,192.168.250.235,,NULL,1,2026-03-16 01:34:57.6333333
2833,LIV-TST-APP01,192.168.250.245,,NULL,1,2026-03-16 01:34:34.2133333
2835,ECON01,192.168.250.201,,NULL,1,2026-03-16 01:34:57.7466667
2852,Onbekend,192.168.250.97,,NULL,1,2026-03-16 01:34:34.0566667
2854,BTS01,192.168.250.130,,NULL,1,2026-03-16 01:34:57.7100000
2864,SQLC01A,192.168.250.84,,NULL,0,2026-04-09 12:55:58.5400000
2865,NAS01,192.168.250.63,,NULL,1,2026-03-16 01:34:57.7900000
2866,NAVWEB01,192.168.250.18,,NULL,1,2026-03-16 01:34:57.7600000
2867,DC02.rambeheer.cloud,192.168.250.22,,NULL,0,2026-04-09 12:33:17.3533333
2869,NAV01,192.168.250.16,,NULL,1,2026-03-16 01:34:57.7766667
2870,FPS01,192.168.250.31,,NULL,1,2026-03-16 01:34:57.8066667
2871,PRAD01,192.168.250.26,,NULL,1,2026-03-16 01:34:57.8200000
2875,CCR01,192.168.250.15,,NULL,1,2026-03-16 01:34:57.9033333
2878,PMRP01,192.168.250.66,,NULL,1,2026-03-16 01:34:57.8766667
2879,PSPS01,192.168.250.88,,NULL,0,2026-04-09 16:30:53.5666667
2880,PSPS02,192.168.250.89,,NULL,0,2026-04-09 16:30:53.4966667
2882,SQL02,192.168.250.82,,NULL,0,2026-04-09 12:55:58.3600000
2883,SQL03,192.168.250.83,,NULL,0,2026-04-09 12:55:58.4533333
2884,SQL04,192.168.250.85,,NULL,0,2026-04-09 12:55:58.6266667
2887,PSQL02,192.168.250.87,,NULL,0,2026-04-09 12:55:58.2766667
2889,Onbekend,192.168.151.99,,NULL,0,2026-04-09 14:27:43.9366667
2906,FLSWP001-101008,10.101.8.91,,NULL,1,2026-03-21 18:32:48.6200000
2907,dcrwp002-101000.internal.cloudapp.net,10.101.0.52,,NULL,1,2026-03-21 18:32:48.8500000
2908,licwp001-101000.internal.cloudapp.net,10.101.0.24,,NULL,1,2026-03-21 18:32:48.6100000
2909,UTLWP001-101008,10.101.8.50,,NULL,1,2026-03-21 18:32:48.5966667
2910,SQLWP001-101008,10.101.8.60,,NULL,1,2026-03-21 18:46:31.2466667
2917,DCRWP002-101008,10.101.8.52,,NULL,1,2026-03-21 18:32:48.8300000
2919,DCRWP001-101008,10.101.8.51,,NULL,1,2026-03-21 18:32:48.8133333
2922,cccwp002-101000.internal.cloudapp.net,10.101.0.14,,NULL,0,2026-04-09 12:14:49.5033333
2923,FTPWP002-101008,10.101.8.80,,NULL,0,2026-04-09 16:33:23.1366667
2925,pkiwp002-101000.internal.cloudapp.net,10.101.0.103,,NULL,1,2026-03-21 18:32:48.7300000
2928,sfswp002-101000.internal.cloudapp.net,10.101.0.18,,NULL,1,2026-03-21 18:32:48.7933333
2929,sfswp001-101000.internal.cloudapp.net,10.101.0.17,,NULL,1,2026-03-21 18:32:48.8200000
2972,LIV-RDS01,192.168.250.246,,NULL,1,2026-03-16 01:34:34.5533333
3002,ECPRSVS12FILE2,10.56.234.7,,NULL,1,2026-03-15 20:51:57.8700000
3006,Veeam05,192.168.234.54,,NULL,0,2026-04-09 12:23:55.0200000
3018,TERG-PRD-SHS04,192.168.126.77,,NULL,1,2026-03-15 20:51:57.9200000
3025,Onbekend,10.130.3.15,,NULL,1,2026-03-16 01:34:12.2200000
3027,Onbekend,10.130.3.14,,NULL,1,2026-03-16 01:34:12.3500000
3296,equipeapi01-prd.localdomain,10.56.4.38,,NULL,1,2026-03-03 19:11:48.8466667
3777,GK-SQLBCK,192.168.234.12,,NULL,0,2026-04-09 12:29:00.5100000
3873,ECPRSVS12FILE4,10.56.234.8,,NULL,1,2026-03-16 01:34:58.0566667
3876,aaenmaas-p-openvpn.ram.nl,192.168.23.30,,NULL,0,2026-04-09 09:35:33.3000000
3885,Onbekend,10.240.10.8,,NULL,0,2026-04-09 10:02:05.1900000
3907,Onbekend,172.20.201.40,,NULL,1,2026-03-15 20:51:58.1300000
3908,Onbekend,172.20.201.39,,NULL,1,2026-03-15 20:51:58.1833333
3956,TNT-APPW19,192.168.178.75,,NULL,1,2026-03-16 01:34:58.0300000
3959,ECGKSVSCD1,10.242.10.42,,NULL,0,2026-04-09 12:28:58.2633333
3963,M1GKSVDC4,10.242.15.11,,NULL,1,2026-03-16 10:20:50.5666667
3972,M1GKSVDC3,10.242.15.10,,NULL,1,2026-03-16 10:20:50.6166667
4027,ECGKSVHIA25,10.242.0.68,,NULL,1,2026-03-16 01:34:58.1400000
4043,ECGKSVHIA17,10.242.0.52,,NULL,1,2026-03-16 01:34:58.1233333
4044,ECGKSVHIA20,10.242.0.55,,NULL,0,2026-04-09 12:37:15.2900000
4045,ECGKSVHIA19,10.242.0.54,,NULL,1,2026-03-22 08:04:57.1900000
4047,ECGKSVCFA1,10.242.0.18,,NULL,1,2026-03-15 20:51:58.6666667
4048,ECGKSVSTS2,10.242.0.42,,NULL,0,2026-04-09 12:28:57.7766667
4049,ECGKSVNPS2,10.242.0.41,,NULL,0,2026-04-09 12:37:15.4300000
4053,ECGKSVSTS1,10.242.0.40,,NULL,0,2026-04-09 12:29:01.7133333
4058,ECGKSVHIA22,10.242.0.31,,NULL,0,2026-04-09 12:37:15.3300000
4059,DBGKSVDC3.db.ecumulus.nl,10.40.42.10,,NULL,0,2026-04-09 12:29:03.3566667
4060,DBGKCNSQL48,10.40.42.20,,NULL,0,2026-04-09 12:55:42.4400000
4073,TERG-ACP01,192.168.126.130,,NULL,1,2026-03-16 01:34:34.7200000
4075,TERG-ACP03,192.168.126.132,,NULL,1,2026-03-16 01:34:34.7466667
4076,TERG-ACP02,192.168.126.131,,NULL,1,2026-03-15 20:51:59.4266667
4077,TERG-TST01,192.168.126.194,,NULL,1,2026-03-15 20:51:59.3733333
4078,TERG-ACP04,192.168.126.133,,NULL,1,2026-03-16 01:34:34.7333333
4080,TERG-TST04,192.168.126.197,,NULL,1,2026-03-16 01:34:34.8133333
4082,TERG-TST02,192.168.126.195,,NULL,1,2026-03-16 01:34:34.8400000
4084,TERG-TST03,192.168.126.196,,NULL,1,2026-03-16 01:34:34.7733333
4088,ECGKSVDCR1,10.242.0.9,,NULL,0,2026-04-09 12:37:15.4700000
4089,ECGKSVCSS1,10.242.0.12,,NULL,0,2026-04-09 12:28:59.0266667
4090,ECGKSVDCC2,10.242.0.13,,NULL,0,2026-04-09 12:37:16.1133333
4091,ECGKSVDCC1,10.242.0.11,,NULL,0,2026-04-09 12:37:15.8200000
4092,ECGKSVDCR2.ithosting.local,10.242.0.10,,NULL,1,2026-03-16 10:20:52.2466667
4100,LIV-PRD-ECON01,192.168.250.240,,NULL,1,2026-03-16 01:34:58.2600000
4103,lzg-mon02,192.168.44.39,,NULL,0,2026-04-09 12:58:22.7000000
4149,ECPRSVE05UMS1,10.56.4.46,,NULL,0,2026-04-09 12:24:37.1466667
4152,UTLWP001-101028,10.101.28.50,,NULL,1,2026-03-21 18:32:48.9000000
4153,FLSWP001-101028,10.101.28.91,,NULL,1,2026-03-21 18:32:48.8400000
4154,dcrwp002-101028.internal.cloudapp.net,10.101.28.52,,NULL,1,2026-03-21 18:32:48.9266667
4156,DCRWP001-101028,10.101.28.51,,NULL,1,2026-03-21 18:32:48.9366667
4162,LIV-PRD-SQL01,192.168.250.153,,NULL,1,2026-03-16 01:34:58.2100000
4163,LIV-PRD-CST01,192.168.250.155,,NULL,1,2026-03-16 01:34:58.2766667
4164,LIV-PRD-LIC01,192.168.250.151,,NULL,1,2026-03-16 01:34:58.2233333
4166,Onbekend,192.168.250.152,,NULL,1,2026-03-16 01:34:58.2500000
4167,LIV-PRD-CDC01,192.168.250.150,,NULL,1,2026-03-16 01:34:58.3033333
4171,scs-prd-01-sh.stokhos.ram.nl,10.130.3.39,,NULL,0,2026-04-09 10:48:18.3466667
4172,scs-tst-01-sh.stokhos.ram.nl,10.130.3.38,,NULL,0,2026-04-09 12:58:21.1233333
4174,ECPRSVW04APP25,10.56.23.98,,NULL,1,2026-03-15 20:52:00.4666667
4201,ECGKSVG17APP17,10.242.33.28,,NULL,1,2026-03-16 01:34:58.3133333
4232,Onbekend,172.19.62.36,,NULL,1,2026-03-30 13:55:47.0100000
4234,ECGKSVG17HPD1,172.19.62.51,,NULL,1,2026-03-16 01:34:58.3533333
4235,Onbekend,192.168.234.244,,NULL,1,2026-03-15 20:52:00.0733333
4243,Onbekend,192.168.234.153,,NULL,0,2026-04-09 16:15:34.1166667
4246,Onbekend,192.168.234.152,,NULL,0,2026-04-09 16:15:34.1900000
4247,Onbekend,192.168.234.155,,NULL,0,2026-04-09 16:15:34.2666667
4248,Onbekend,192.168.234.154,,NULL,0,2026-04-09 16:15:34.0400000
4249,Veeam06,192.168.234.55,,NULL,0,2026-04-09 12:23:54.9300000
4260,Backup-Switch02-CIZ-Kast,192.168.234.199,,NULL,0,2026-04-09 14:27:56.2466667
4261,Backup-Switch01,192.168.234.200,,NULL,0,2026-04-09 14:27:56.1900000
4263,RAMNL-BU07,192.168.234.10,,NULL,0,2026-04-09 16:16:05.4933333
4304,Onbekend,10.101.0.250,,NULL,1,2026-03-15 20:52:00.8700000
4310,faswp002-101000.internal.cloudapp.net,10.101.0.34,,NULL,1,2026-03-21 18:32:48.9100000
4311,faswp001-101000.internal.cloudapp.net,10.101.0.33,,NULL,1,2026-03-21 18:32:48.9633333
4312,cccwp001-101000.internal.cloudapp.net,10.101.0.13,,NULL,0,2026-04-09 12:14:49.7300000
4315,sfswp003-101000.internal.cloudapp.net,10.101.0.19,,NULL,1,2026-03-21 18:32:48.9166667
4397,Onbekend,10.240.33.29,,NULL,0,2026-04-09 10:48:32.5766667
4564,Onbekend,192.168.226.143,,NULL,0,2026-04-09 12:58:20.5500000
4565,Onbekend,192.168.226.145,,NULL,1,2026-03-15 20:52:01.0400000
4566,Onbekend,192.168.226.130,,NULL,0,2026-04-09 12:58:20.7733333
4568,Onbekend,192.168.226.142,,NULL,0,2026-04-09 12:58:20.8866667
4569,Onbekend,192.168.226.129,,NULL,0,2026-04-09 12:58:20.6633333
4570,Onbekend,192.168.226.131,,NULL,0,2026-04-09 12:58:21.8933333
4571,Onbekend,192.168.226.132,,NULL,0,2026-04-09 12:58:20.4333333
4572,Onbekend,192.168.226.128,,NULL,0,2026-04-09 12:58:26.8266667
